id,nome,album,release,related
1,SPOC (Demo),Demo,1992,
2,Uncontrollable Fu (Demo),Demo,1992,
3,Gimme 30 (Demo),Demo,1992,
4,Rotomusic de Liquidificapum,Rotomusic de Liquidificapum,1993,
5,Sítio do Pica-Pau Amarelo,Rotomusic de Liquidificapum,1993,
6,O Processo de Criação vai de 10 até 100 Mil,Rotomusic de Liquidificapum,1993,
7,Meu coração é u'a Privada,Rotomusic de Liquidificapum,1993,
8,Minhas Férias,Rotomusic de Liquidificapum,1993,
9,"Meu Pai, Meu Irmão",Rotomusic de Liquidificapum,1993,
10,Hino Nacional do Pato Fu,Rotomusic de Liquidificapum,1993,
11,GRES,Rotomusic de Liquidificapum,1993,
12,Gimme 30,Rotomusic de Liquidificapum,1993,12
13,O Mundo Ainda Não Está Pronto,Rotomusic de Liquidificapum,1993,
14,O Amor em Carne e Osso,Rotomusic de Liquidificapum,1993,
15,And Now,Gol de Quem?,1995,
16,Mamãe Ama é o Meu Revólver,Gol de Quem?,1995,
17,Vida Imbecil,Gol de Quem?,1995,
18,Gol de Quem?,Gol de Quem?,1995,
19,Sertões,Gol de Quem?,1995,
20,Onofle,Gol de Quem?,1995,
21,Sobre o Tempo,Gol de Quem?,1995,
22,A Volta do Boêmio,Gol de Quem?,1995,
23,Qualquer Bobagem,Gol de Quem?,1995,
24,Ring My Bell,Gol de Quem?,1995,
25,Ok! All Right,Gol de Quem?,1995,
26,Vida de Operário,Gol de Quem?,1995,
27,Spoc,Gol de Quem?,1995,27
28,Ob-la-di-ob-la-da,Gol de Quem?,1995,
29,Nós Mes,Tem Mas Acabou,1996,
30,Água,Tem Mas Acabou,1996,
31,Pinga,Tem Mas Acabou,1996,
32,Capetão 66.6FM,Tem Mas Acabou,1996,
33,O Peso das Coisas (Maria e Gabriel),Tem Mas Acabou,1996,
34,Tchau / Tô Indo / Já Fui,Tem Mas Acabou,1996,
35,Cereblo,Tem Mas Acabou,1996,
36,Nuvens,Tem Mas Acabou,1996,
37,Little Mother Of Sky,Tem Mas Acabou,1996,
38,Porque Te Vas,Tem Mas Acabou,1996,
39,1 De Vocês,Tem Mas Acabou,1996,
40,Lá se Vai minha razão de viver,Tem Mas Acabou,1996,
41,Dentro/Fora,Tem Mas Acabou,1996,
42,Feliz Ano Novo / Capitão Oreia / Mensagem Eletrônica,Tem Mas Acabou,1996,
43,A Necrofilia da Arte,Televisão de Cachorro,1998,
44,Antes que Seja Tarde,Televisão de Cachorro,1998,
45,Nunca Diga,Televisão de Cachorro,1998,
46,Eu Sei,Televisão de Cachorro,1998,
47,Licitação,Televisão de Cachorro,1998,
48,Vivo Num Morro,Televisão de Cachorro,1998,
49,"Um Dia, Um Ladrão",Televisão de Cachorro,1998,
50,Canção Pra Você Viver Mais,Televisão de Cachorro,1998,
51,Tempestade,Televisão de Cachorro,1998,
52,O Mundo Não Mudou,Televisão de Cachorro,1998,
53,Televisão de Cachorro,Televisão de Cachorro,1998,
54,"Spaceballs, The Ballad",Televisão de Cachorro,1998,
55,Boa Noite,Televisão de Cachorro,1998,
56,Made In Japan,Isopor,1999,
57,Isopor,Isopor,1999,
58,Depois,Isopor,1999,
59,Um Ponto Oito,Isopor,1999,
60,Imperfeito,Isopor,1999,
61,Morto,Isopor,1999,
62,O Filho Predileto de Rajneesh,Isopor,1999,
63,Perdendo Dentes,Isopor,1999,
64,Saudade,Isopor,1999,
65,O Prato do Dia,Isopor,1999,
66,Quase,Isopor,1999,
67,Olimpíada 2000,Isopor,1999,
68,Made in Japan - Extended Mix,Isopor,1999,56
69,Perdendo Dentes - Ao Vivo,Isopor,1999,63
70,Eu,Ruído Rosa,2001,
71,Ninguém,Ruído Rosa,2001,
72,Day After Day,Ruído Rosa,2001,
73,Tribunal de Causas Realmente Pequenas,Ruído Rosa,2001,
74,"Menti Pra Você, Mas Foi Sem Querer",Ruído Rosa,2001,
75,Ruído Rosa,Ruído Rosa,2001,
76,Deus,Ruído Rosa,2001,
77,2 Malucos,Ruído Rosa,2001,
78,Tolices,Ruído Rosa,2001,
79,Que Fragilidade,Ruído Rosa,2001,
80,O Vento Levou…,Ruído Rosa,2001,
81,"Sorria, Você Está Sendo Filmado",Ruído Rosa,2001,
82,Ando Meio Desligado,Ruído Rosa,2001,
83,Eu (Ao Vivo),MTV Ao Vivo,2002,70
84,Me Explica (Ao Vivo),MTV Ao Vivo,2002,
85,Sobre o Tempo (Ao Vivo),MTV Ao Vivo,2002,21
86,Made in Japan (Ao Vivo),MTV Ao Vivo,2002,56
87,Por Perto (Ao Vivo),MTV Ao Vivo,2002,
88,Porque Te Vas (Ao Vivo),MTV Ao Vivo,2002,38
89,Não Mais (Ao Vivo),MTV Ao Vivo,2002,
90,Capetão 66.6FM (Ao Vivo),MTV Ao Vivo,2002,32
91,Depois (Ao Vivo),MTV Ao Vivo,2002,58
92,Cancão Pra Você Viver Mais (Ao Vivo),MTV Ao Vivo,2002,50
93,Vivo Num Morro (Ao Vivo),MTV Ao Vivo,2002,48
94,Nada Pra Mim (Ao Vivo),MTV Ao Vivo,2002,
95,"Um Dia, Um Ladrão (Ao Vivo)",MTV Ao Vivo,2002,49
96,Antes Que Seja Tarde (Ao Vivo),MTV Ao Vivo,2002,44
97,Imperfeito (Ao Vivo),MTV Ao Vivo,2002,60
98,Perdendo Dentes (Ao Vivo),MTV Ao Vivo,2002,63
99,"Menti Pra Você, Mas Foi Sem Querer (Ao Vivo)",MTV Ao Vivo,2002,74
100,Quase (Ao Vivo),MTV Ao Vivo,2002,66
101,Rotomusic de Liquidificapum (Ao Vivo),MTV Ao Vivo,2002,4
102,Anormal,Toda Cura Para Todo Mal,2005,
103,"Uh Uh Uh, La La La, Ié Ié!",Toda Cura Para Todo Mal,2005,
104,Sorte e Azar,Toda Cura Para Todo Mal,2005,
105,Amendoim,Toda Cura Para Todo Mal,2005,
106,Simplicidade,Toda Cura Para Todo Mal,2005,
107,Agridoce,Toda Cura Para Todo Mal,2005,
108,No Aeroporto,Toda Cura Para Todo Mal,2005,
109,Estudar Pra Que?,Toda Cura Para Todo Mal,2005,
110,Vida Diet,Toda Cura Para Todo Mal,2005,
111,O Que É Isso?,Toda Cura Para Todo Mal,2005,
112,!,Toda Cura Para Todo Mal,2005,
113,Tudo,Toda Cura Para Todo Mal,2005,
114,Boa Noite Brasil,Toda Cura Para Todo Mal,2005,
115,30.000 Pés,Daqui Pro Futuro,2007,
116,Mamã Papá,Daqui Pro Futuro,2007,
117,Espero,Daqui Pro Futuro,2007,
118,Cities in Dust,Daqui Pro Futuro,2007,
119,Tudo Vai Ficar Bem,Daqui Pro Futuro,2007,
120,A Hora da Estrela,Daqui Pro Futuro,2007,
121,Woo!,Daqui Pro Futuro,2007,
122,A Verdade Sobre o Tempo,Daqui Pro Futuro,2007,
123,Quem Não Sou,Daqui Pro Futuro,2007,
124,Vagalume,Daqui Pro Futuro,2007,
125,Nada Original,Daqui Pro Futuro,2007,
126,1000 Guilhotinas,Daqui Pro Futuro,2007,
127,Primavera (Vai Chuva),Música de Brinquedo,2010,
128,Sonífera Ilha,Música de Brinquedo,2010,
129,Rock and Roll Lullaby,Música de Brinquedo,2010,
130,Frevo Mulher,Música de Brinquedo,2010,
131,Ovelha Negra,Música de Brinquedo,2010,
132,Todos Estão Surdos,Música de Brinquedo,2010,
133,Live and Let Die,Música de Brinquedo,2010,
134,Pelo Interfone,Música de Brinquedo,2010,
135,Twiggy Twiggy,Música de Brinquedo,2010,
136,My Girl,Música de Brinquedo,2010,
137,Ska,Música de Brinquedo,2010,
138,Love Me Tender,Música de Brinquedo,2010,
139,Cego Para as Cores,Não Pare Pra Pensar,2014,
140,Crédito ou Débito,Não Pare Pra Pensar,2014,
141,Ninguém Mexe com o Diabo,Não Pare Pra Pensar,2014,
142,Não Pare Pra Pensar,Não Pare Pra Pensar,2014,
143,Eu Era Feliz,Não Pare Pra Pensar,2014,
144,Um Dia do Seu Sol,Não Pare Pra Pensar,2014,
145,You Have To Outgrow Rock'n Roll,Não Pare Pra Pensar,2014,
146,Siga Mesmo No Escuro,Não Pare Pra Pensar,2014,
147,Pra Qualquer Bicho,Não Pare Pra Pensar,2014,
148,Mesmo Que Seja Eu,Não Pare Pra Pensar,2014,
149,Eu Ando Tendo Sorte,Não Pare Pra Pensar,2014,
150,Primavera (Vai Chuva) - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
151,Sonífera Ilha - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
152,Rock and Roll Lullaby - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
153,Eu - Ao Vivo,Música de Brinquedo Ao Vivo,2011,70
154,Ovelha Negra - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
155,Todos Estão Surdos - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
156,Simplicidade - Ao Vivo,Música de Brinquedo Ao Vivo,2011,106
157,Live and Let Die - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
158,Perdendo Dentes - Ao Vivo,Música de Brinquedo Ao Vivo,2011,63
159,My Girl - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
160,Ska - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
161,Sobre o Tempo - Ao Vivo,Música de Brinquedo Ao Vivo,2011,21
162,Made in Japan - Ao Vivo,Música de Brinquedo Ao Vivo,2011,56
163,Bohemian Rhapsody - Ao Vivo,Música de Brinquedo Ao Vivo,2011,
164,Palco,Música de Brinquedo 2,2017,
165,Livin' La Vida Loca,Música de Brinquedo 2,2017,
166,Kid Cavaquinho,Música de Brinquedo 2,2017,
167,I Saw You Saying,Música de Brinquedo 2,2017,
168,Rock da Cachorra,Música de Brinquedo 2,2017,
169,Datemi un Martello,Música de Brinquedo 2,2017,
170,Severina Xique-Xique,Música de Brinquedo 2,2017,
171,Every Breath You Take,Música de Brinquedo 2,2017,
172,Mamãe Natureza,Música de Brinquedo 2,2017,
173,Private Idaho,Música de Brinquedo 2,2017,
174,Não Se Vá,Música de Brinquedo 2,2017,
175,Rondo do Capitão,Assim Assado - Tributo Ao Secos e Molhados,2003,
176,Noite Enluarada Vol. 2,A pessoa é para o que nasce,2004,
177,Walking on Sunshine,Rockin' Days,2005,
178,Birthday,Tributo Álbum Branco,2008,
179,Uma Lágrima,Vou Tirar Você Desse Lugar (Tributo ao Odair José),2005,
180,Barata!,Pum!,2009,
181,Três Lados,"Rock In Rio 30 Anos, Vol. 2",2015,
182,Seu Espião,"Rock In Rio 30 Anos, Vol. 1",2015,